State,Year,Income
Alabama,1984,9772
Alabama,1985,10388
Alabama,1986,10944
Alabama,1987,11454
Alabama,1988,12391
Alabama,1989,13377
Alabama,1990,14175
Alabama,1991,14867
Alabama,1992,15821
Alabama,1993,16294
Alabama,1994,16995
Alabama,1995,17772
Alabama,1996,18364
Alabama,1997,19087
Alabama,1998,20120
Alabama,1999,20685
Alabama,2000,21574
Alabama,2001,22255
Alabama,2002,23170
Alabama,2003,24304
Alabama,2004,26011
Alabama,2005,27130
Alabama,2006,28296
Alabama,2007,29371
Alabama,2008,30202
Alabama,2009,30155
Alabama,2010,31187
Alabama,2011,31883
Alabama,2012,32760
Alabama,2013,32699
Alabama,2014,33675
Alaska,1984,17573
Alaska,1985,18455
Alaska,1986,18461
Alaska,1987,17703
Alaska,1988,18483
Alaska,1989,19732
Alaska,1990,20549
Alaska,1991,21008
Alaska,1992,21767
Alaska,1993,22515
Alaska,1994,23059
Alaska,1995,23705
Alaska,1996,24138
Alaska,1997,25176
Alaska,1998,26080
Alaska,1999,26769
Alaska,2000,28606
Alaska,2001,29967
Alaska,2002,31583
Alaska,2003,33032
Alaska,2004,34156
Alaska,2005,35849
Alaska,2006,37574
Alaska,2007,39806
Alaska,2008,43261
Alaska,2009,43732
Alaska,2010,45912
Alaska,2011,48304
Alaska,2012,49533
Alaska,2013,48237
Alaska,2014,51038
Arizona,1984,11696
Arizona,1985,12479
Arizona,1986,13153
Arizona,1987,13615
Arizona,1988,14382
Arizona,1989,14990
Arizona,1990,15440
Arizona,1991,15840
Arizona,1992,16429
Arizona,1993,16974
Arizona,1994,17750
Arizona,1995,18526
Arizona,1996,19202
Arizona,1997,20080
Arizona,1998,21189
Arizona,1999,21855
Arizona,2000,23048
Arizona,2001,23731
Arizona,2002,24599
Arizona,2003,25748
Arizona,2004,27367
Arizona,2005,28904
Arizona,2006,30918
Arizona,2007,31988
Arizona,2008,32197
Arizona,2009,30950
Arizona,2010,31157
Arizona,2011,32052
Arizona,2012,33231
Arizona,2013,33502
Arizona,2014,34977
Arkansas,1984,9533
Arkansas,1985,10065
Arkansas,1986,10588
Arkansas,1987,10933
Arkansas,1988,11754
Arkansas,1989,12550
Arkansas,1990,13137
Arkansas,1991,13787
Arkansas,1992,14838
Arkansas,1993,15301
Arkansas,1994,15957
Arkansas,1995,16674
Arkansas,1996,17424
Arkansas,1997,17992
Arkansas,1998,18841
Arkansas,1999,19463
Arkansas,2000,20218
Arkansas,2001,21234
Arkansas,2002,21976
Arkansas,2003,23392
Arkansas,2004,24781
Arkansas,2005,25653
Arkansas,2006,26840
Arkansas,2007,28186
Arkansas,2008,29065
Arkansas,2009,28864
Arkansas,2010,29723
Arkansas,2011,31201
Arkansas,2012,33378
Arkansas,2013,33186
Arkansas,2014,35102
California,1984,14046
California,1985,14755
California,1986,15467
California,1987,16073
California,1988,17205
California,1989,17869
California,1990,18711
California,1991,19253
California,1992,20135
California,1993,20437
California,1994,20913
California,1995,21714
California,1996,22592
California,1997,23454
California,1998,24955
California,1999,26014
California,2000,27660
California,2001,28808
California,2002,29928
California,2003,31229
California,2004,32832
California,2005,33966
California,2006,36259
California,2007,37446
California,2008,37777
California,2009,37319
California,2010,38472
California,2011,40011
California,2012,42215
California,2013,41878
California,2014,44115
Colorado,1984,13361
Colorado,1985,13954
Colorado,1986,14421
Colorado,1987,14800
Colorado,1988,15693
Colorado,1989,16715
Colorado,1990,17471
Colorado,1991,18121
Colorado,1992,19077
Colorado,1993,19922
Colorado,1994,20733
Colorado,1995,21930
Colorado,1996,22924
Colorado,1997,23881
Colorado,1998,25664
Colorado,1999,26747
Colorado,2000,28897
Colorado,2001,30030
Colorado,2002,30355
Colorado,2003,31113
Colorado,2004,31975
Colorado,2005,33364
Colorado,2006,35139
Colorado,2007,36588
Colorado,2008,37572
Colorado,2009,36072
Colorado,2010,36484
Colorado,2011,38570
Colorado,2012,40386
Colorado,2013,41677
Colorado,2014,44581
Connecticut,1984,15436
Connecticut,1985,16319
Connecticut,1986,17335
Connecticut,1987,18593
Connecticut,1988,20612
Connecticut,1989,22300
Connecticut,1990,23007
Connecticut,1991,23198
Connecticut,1992,24665
Connecticut,1993,25298
Connecticut,1994,25958
Connecticut,1995,27144
Connecticut,1996,27863
Connecticut,1997,29192
Connecticut,1998,31058
Connecticut,1999,32506
Connecticut,2000,34980
Connecticut,2001,36781
Connecticut,2002,37991
Connecticut,2003,38667
Connecticut,2004,40493
Connecticut,2005,41950
Connecticut,2006,45093
Connecticut,2007,47878
Connecticut,2008,51372
Connecticut,2009,52436
Connecticut,2010,53964
Connecticut,2011,54252
Connecticut,2012,55025
Connecticut,2013,52494
Connecticut,2014,54983
Delaware,1984,12569
Delaware,1985,13489
Delaware,1986,14113
Delaware,1987,15106
Delaware,1988,16359
Delaware,1989,17869
Delaware,1990,18503
Delaware,1991,19373
Delaware,1992,19905
Delaware,1993,20310
Delaware,1994,20726
Delaware,1995,21585
Delaware,1996,22555
Delaware,1997,23004
Delaware,1998,25137
Delaware,1999,26733
Delaware,2000,29292
Delaware,2001,32117
Delaware,2002,33511
Delaware,2003,34140
Delaware,2004,34840
Delaware,2005,34643
Delaware,2006,36111
Delaware,2007,36647
Delaware,2008,35919
Delaware,2009,36991
Delaware,2010,36987
Delaware,2011,39222
Delaware,2012,39402
Delaware,2013,39457
Delaware,2014,40953
District of Columbia,1984,15063
District of Columbia,1985,15891
District of Columbia,1986,16657
District of Columbia,1987,17459
District of Columbia,1988,19483
District of Columbia,1989,20805
District of Columbia,1990,22509
District of Columbia,1991,23972
District of Columbia,1992,25455
District of Columbia,1993,26699
District of Columbia,1994,27398
District of Columbia,1995,28033
District of Columbia,1996,29338
District of Columbia,1997,30608
District of Columbia,1998,32327
District of Columbia,1999,33512
District of Columbia,2000,36488
District of Columbia,2001,37711
District of Columbia,2002,39028
District of Columbia,2003,39869
District of Columbia,2004,43367
District of Columbia,2005,45252
District of Columbia,2006,47572
District of Columbia,2007,50377
District of Columbia,2008,51654
District of Columbia,2009,52440
District of Columbia,2010,55622
District of Columbia,2011,57971
District of Columbia,2012,58518
District of Columbia,2013,57654
District of Columbia,2014,60788
Florida,1984,12610
Florida,1985,13259
Florida,1986,13909
Florida,1987,14620
Florida,1988,15724
Florida,1989,17028
Florida,1990,17714
Florida,1991,18125
Florida,1992,18808
Florida,1993,19522
Florida,1994,20082
Florida,1995,21107
